"General","장군"
" of the theme"," 주제"
" of the first theme"," 첫번째 주제"
" of the second theme"," 두번째 주제"
" of the previous passage"," 이전 구절"
"a recapitulation","요약"
"the synthesis","합성"
" of the two themes"," 두 주제"
" of previous passages"," 이전 구절"
"a verse","구절"
"a chorus","합창"
"the finale","마무리"
"the coda","종결부"
"a bridge-passage","연결 구절"
"first ","첫 번째 "
"second ","두 번째 "
"theme","주제"
"a series of variations","일련의 변주곡"
" on the theme"," 주제로"
" on the first theme"," 첫번째 주제로"
" on the second theme"," 두번째 주제로"
" and "," 그리고 "
"You continue the dance.","당신은 춤을 계속 춘다."
"The dance continues.","춤이 계속된다."
"You continue the music.","당신은 음악을 계속 연주한다."
"The music continues.","음악은 계속된다."
"You conclude your performance.","당신은 공연을 마친다."
"The performers are finished.","공연이 끝났다."
"Some performers finish their act.","몇몇 공연자가 공연을 마쳤다."
" has finished performing."," 공연을 마쳤다."
" concludes a performance."," 공연을 마쳤다."
"You've learned ","당신은 배웠다 "
"You feel like you know the basic rules of ","당신은 기본적인 규칙을 깨달은 것 같다 "
" now."," 지금."
"Do your duty.","당신의 의무를 다하십시오."
"caught in dust","먼지에 갇힌"
"headwear","모자류"
"Your","당신의"
"'s","의"
" lay"," 두다."
" forth an awe-inspiring sermon for the ages!"," 대대로 경외심을 불러일으키는 설교를 시작하라!"
" artfully deliver"," 교묘하게 전하다"
" a lucid and powerful sermon."," 명료하고 강력한 설교."
" giving a creditable sermon."," 훌륭한 설교를 한다."
" just can't give a sermon very well."," 설교를 잘 할 수 없을 뿐이다."
" dance"," 춤춘다"
" flawlessly, like someone out of a legend!"," 완벽하게, 마치 전설 속 누군가처럼!"
" dancing exceptionally."," 유별나게 춤추다."
" dancing well."," 괜찮게 췄다."
" get"," 얻는다"
" tangled up."," 뒤엉켜버렸다."
" and the "," 그리고 "
" are indistinguishable!"," 구별할 수 없다!"
"instrument","악기"
" delivering a virtuoso performance on the "," 뛰어난 기교를 제공한다 "
" is absolutely flawless."," 은/는 흠잡을데 없이 완벽하다."
"chant","성가"
"song","노래"
" could nearly pass for the voice of the "," 거의 그 목소리로 지나갈 수 있었다. "
" play"," 한다"
" the "," 그 "
" with skill."," 능숙하게."
"sing","노래한다"
" beautifully."," 아름답게."
" sound"," 소리"
" vaguely like the intended "," 어렴풋이 의도된대로 "
" playing the "," 연주 "
" well."," 음."
"chanting","성가를 부른다"
"singing","노래한다"
" make"," 만든다"
" a mockery of the "," ~에 대한 조롱 "
" with a shameworthy performance."," 부끄러운 연기로."
"doesn't","하지 않는다"
"don't","할 수 없다"
" seem to know how to play the "," 연주할 줄 아는 것 같다 "
" sloppily"," 엉성하게"
" and even forget"," 그리고 비록 잊었을지라도"
" some of the words."," 단어의 일부를."
" bring"," 가져오다"
" the poem to life with this flawless recitation."," 인생에 바치는 시를 완벽히 암송한다."
" choose"," 선택하다"
" the perfect phrasing."," 완벽한 표현이다."
" recite"," 암송하다"
" the words evocatively."," 추억을 되살리는 단어들을."
" enunciate"," 발음한다"
" crisply."," 선명하게."
" speak"," 말한다"
" mumble"," 우물거린다"
", having completely forgotten the words.",", 그 단어를 완전히 잊어버린 채로."
" poorly."," 비참하게."
" weave"," 엮다"
" a mesmerizing tale!"," 매혹적인 이야기!"
" tell"," 말하다"
" the story in vivid detail."," 생생한 디테일의 이야기."
" telling the tale quite well."," 이야기를 꽤 잘 한다."
" stumble"," 헛디디다"
" over the details."," 세세한 부분까지."
"It has no writing.","쓰여진 것이 없다."
"It has no pages.","페이지가 없다."
"The pages are blank.","페이지가 비어 있다."
"Alias: ","별칭: "
"Highest known in organization","조직에서 가장 잘 알려진"
"Associated Organization: ","관련 조직 "
"Associated Plot: ","연상되는 스토리: "
"We should have made it there by now.","우리는 지금쯤 그 곳에 도착했어야 했다."
"We should be making better progress.","우리는 더 나은 진전을 이루어야 한다."
"We are going the wrong way.","우리는 잘못된 길로 가고 있다."
"We haven't performed for some time.","우리는 공연을 안 한지 꽤 오래 되었다."
"We have arrived at our destination.","우리는 목적지에 도착하였다."
"The oppressor has been overthrown!","압제자가 타도되었다!"
"We must not abandon ","우리는 포기하지 않을 것이다. "
"We must go back.","우리는 돌아가야만 한다."
"Empty announcement ","공허한 선언 "
"The ","그 "
"spinning ","방적 "
"flying ","날아가는 "
"It","그것"
", but it is deflected by ",", 하지만 그것은 에 의해 굴절된다. "
" by the "," 에 의해 "
" in the "," 에서 "
" from behind"," 뒤에서"
" from the side"," 옆에서"
" with "," 와 "
", but the attack is deflected by ",", 하지만 그 공격은 굴절된다 ~에 의해: "
", lightly tapping the target!",", 가볍게 목표를 두드린다!"
", but there is no force!",", 하지만 힘이 없다! "
", but it passes right through!",", 하지만 그것은 바로 통과한다!"
", but the attack passes right through!",", 하지만 공격은 그대로 통과해버린다!"
", but it glances away!",", 하지만 휙 빗나간다!"
", but the attack glances away!",", 하지만 공격은 휙 빗나간다!"
" and the severed part sails off in an arc!"," 그리고 잘린 부위가 호를 그리며 날아간다!"
"the part","부위"
" is smashed into the body, an unrecognizable mass!"," 신체가 박살 나서, 피떡이 됐다!"
" splits in gore!"," 끔찍하게 쪼개진다!"
" collapses!"," 붕괴!"
"the injured part","손상 부위"
" is ripped into loose shreds!"," 산산조각이 났다!"
" is torn apart!"," 갈기갈기 찢어졌다!"
" and it is mostly cut away from the rest of the torso!"," 그리고 몸통에서 썩둑 잘려나갔다!"
" is cloven asunder!"," 산산조각이 났다!"
" explodes into gore!"," 끔찍하게 터져나갔다!"
" collapses into a lump of gore!"," 끔찍한 덩어리가 돼서 무너져 내렸다!"
" is crushed!"," 박살났다!"
"The geldables have been torn away!","고환이 찢어져버린다!"
"tearing","찢는다"
"tearing apart","조각조각 뜯어낸다"
"shattering","쪼개진다"
"chipping","가른다"
"fracturing","부러뜨린다"
"denting","찌그러뜨린다"
"bruising","후드려팬다"
"'s ","의 "
" it"," 그것"
" apart"," 따로"
" and"," 그리고"
" tearing apart"," 조각조각 뜯어낸다"
" shattering"," 조각낸다"
" tearing"," 찢는다"
" chipping"," 가른다"
" fracturing"," 부러뜨린다"
" denting"," 찌그러뜨린다"
" bruising"," 후드려팬다"
"main part","주요 부위"
" through a hole in the "," 구멍을 통해 "
"passing through a hole in the ","구멍을 통과한다: "
"jamming the","방해한다"
" part"," 부위"
"through the ","통해 "
"out of the wound","상처 밖으로"
"breaking away","달아난다"
" most of"," 대부분의"
" half of"," 절반의"
" a piece of"," 조각"
" the rest of"," 나머지"
" through the "," 통해 "
" and spilling "," 그리고 쏟아낸다 "
"your","당신의"
"rancid","썩은 내 나는"
"decomposing","분해된다"
"rotten","썩은"
"fetid","악취가 나는"
"foul","반칙"
"reeking","악취가 나는"
"filthy","추잡한"
"stinking","악취가 나는"
"It is a gelding strike!","거세시키는 일격!"
"It is a gelding blow!","부랄 펀치! 부랄 펀치!"
"a major artery","대동맥"
"an artery","동맥"
" has been opened by the attack"," 공격 받아서 뜯어졌다"
"many nerves","많은 신경"
"a motor nerve","운동신경"
"a sensory nerve","감각 신경"
"have","가지다"
"has","가지다"
" been severed"," 절단되었다"
"a ligament","인대"
" has been "," 되었다 "
"torn","찢어진"
"sprained","접지른"
"bruised","멍든"
"a tendon","힘줄"
"strained","강직된"
" is ripped to shreds!"," 조각조각 찢어졌다!"
" breaks!"," 박살!"
" attack is interrupted!"," 공격이 중단됐다!"
" have"," 가지다"
" has"," 가지다"
" become enraged!"," 광분한다!"
" has lodged firmly in the wound!"," 상처에 단단히 박혔다!"
" latch on firmly"," 단단히 고정했다"
" latches on firmly"," 단단히 달라붙는다"
" to "," 에게 "
" latch on firmly!"," 단단히 고정!"
" latches on firmly!"," 단단히 고정!"
" are"," 은/는"
" is"," 은/는"
" propelled away by the force of the blow!"," 강하게 쳐맞고 튕겨져 나갔다!"
" been knocked unconscious!"," 쓰러져 의식을 잃었다!"
" been stunned again!"," 또 기절했다!"
" been stunned!"," 기절했다!"
" having more trouble breathing!"," 숨 쉬기가 너무 힘들다!"
" having trouble breathing!"," 호흡 곤란!"
" feel"," 느낀다"
" looks"," 보인다"
" even more sick!"," 이건 정말 아프다!"
" sick!"," 아프다!"
" is injected into the "," 쑤셔박힌다 "
" pours over the "," 마구 쏟아진다 "
" flows over the "," 줄줄 흘러내린다 "
" splatters over the "," 후두둑 흩뿌려진다 "
" crumbles over the "," 조각나 뿌려진다 "
" is sucked out of the wound!"," 상처에서 빨려나간다!"
"item","물품"
" have returned."," 돌아왔다."
" and others have returned."," 그리고 다른 이들이 돌아왔다."
" has returned."," 돌아왔다."
" has brought back many tales from beyond "," 요새 너머에서 많은 이야기를 가져 왔다. "
" has brought back a few rumors."," 몇 가지 소문을 가져 왔다."
" has brought back a rumor from abroad."," 요새 밖의 소문을 가져 왔다."
" has arrived."," 도착했다."
" is visiting."," 방문한다."
", the performance troupe, has arrived.",", 공연단이 도착했다."
", a performance troupe, is visiting.",", 공연단이 방문했다."
"Spoils Report: ","전리품 보고서: "
" and others"," 그리고 남은 것들"
"Winter","겨울"
"Autumn","가을"
"Summer","여름"
"Spring","봄"
"The dead walk.  Hide while you still can!","죽은 자가 걸어온다.  숨을 수 있는 동안 숨어라!"
"Well, there must be something else to discuss.","음, 논의할 다른 것이 있어야 합니다."
"Forms twisted from their nature, legion of the night.  What hope remains?","본래의 형체를 잃고 일그러진 존재들, 암흑의 군단이다. 그들 앞에서 어떤 희망이 남아 있겠는가?"
"A vile force of darkness has arrived, seeking a parley!","악랄한 어둠의 세력이 협상을 노리고 도착했습니다!"
"a village nearby","인근 마을"
"The enemy have come and are preparing to lay siege.  They seek a parley!","적의 군세가 도달하여 공성전을 준비합니다! 협상이 아니면 죽음만이 있을뿐입니다."
"An army has come to your lands seeking a parley.","군대가 협상을 위해 당신의 땅에 왔습니다."
"A vile force of darkness has arrived!","어둠의 불쾌한 군세가 찾아왔습니다!"
"The enemy have come and are laying siege to the fortress.","적군이 와서 요새를 포위 공격합니다."
"An army is invading!","군대가 침공합니다!"
"The creative impulse is so valuable.","창의적인 충동은 매우 소중합니다."
"army is located out of bounds: teleporting","군대가 범위를 벗어났습니다: 텔레포트"
"overlord","지배자"
"overlords","지배자"
"becomes frenzied as it proceeds","진행되면서 난리가 난다."
"In quartertones, their spacing is roughly ","쿼터톤에서 그 간격은 대략 "
" of "," 의 "
" has been founded "," 설립되었다 "
", has been conquered and",", 정복되었고"
", has been",", 되었다"
" incorporated into your holdings."," 보유 자산에 편입되었다."
" has been conquered and now"," 정복되었고 지금"
" looks to your thriving economy for its future prosperity."," 미래를 향해 번영하는 경제를 바라봅니다."
"save","저장"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","디스크의 압축 파일 중 하나에 오류가 있습니다. 가능한 경우 백업에서 복원합니다."
" are "," 은/는 "
"prostrating ","엎드려 "
"themselves","그들 자신"
" before "," 전 "
"torturing ","고문하는 "
"committing a depraved act upon ","타락한 행위를 저지르는 "
"devouring ","삼키는 "
"admiring ","감탄하는 "
"burning ","불타는 "
"shooting ","사격하는 "
"surrounded by ","~에 둘러싸여 "
"massacring ","학살하는 "
"fighting with ","~와 싸우는 "
"greeting ","인사하는 "
"refusing ","거절하는 "
"speaking with ","~와 이야기하는 "
"embracing ","포용하는 "
"striking down ","내려치는 "
"raising ","솟아오르는 "
"hiding ","숨는 "
"praying to ","~에게 기도하는 "
"contemplating ","심사숙고하는 "
"cooking ","요리하는 "
"engraving ","조각하는 "
"impaled on ","~에 찔리는 "
"being flayed by ","~에 의해 가죽이 벗겨지는 "
"hanging from ","~에 매달리는 "
"being mutilated by ","~에 의해 절단되는 "
"praying","기도하는"
"weeping","울음을 터뜨리는"
"cringing","굽실거리는"
"screaming","비명을 지르는"
"being tortured","고문 당하는"
"committing a depraved act","타락한 행위를 저지르는"
"making a submissive gesture","복종의 몸짓을 취하는"
"in a fetal position","태아 같은 자세로"
"smeared out into a spiral","나선형으로 얼룩진"
"falling","떨어지는"
"dead","죽은"
"laughing","웃음을 터뜨리는"
"being shot","사격 당하는"
"making a plaintive gesture","애처로운 몸짓을 하는"
"melting","녹아내리는"
"burning","불타는"
"look","보인다"
"looks","보인다"
" dejected"," 낙심한"
" terrified"," 겁에 질린"
" offended"," 불쾌한"
" confused"," 혼란스러운"
"suffering","고통받는"
"withering away","시들어버리는"
"striking a menacing pose","위협적인 포즈를 취하는"
"striking a triumphant pose","승리의 포즈를 취하는"
"laboring","노동하는"
"traveling","여행하는"
"contemplating","고민하는"
"cooking","요리하는"
"engraving","조각하는"
"unnaturally contorted","부자연스럽게 뒤틀린"
"being flayed","껍질이 벗겨지는"
"being mutilated","절단되는"
"Untitled","무제"
", the deity of ",", 신의 "
", depicted as a ",", 로 묘사됨 "
"skeletal ","해골 같은 "
"rotting ","썩어가는 "
"ghostly ","아리송한 "
"female ","여성 "
"male ","남성 "
"the deity of ","의 신 "
"Click a building to link to ","연결할 건물을 클릭하세요. "
"Cannot link to ","연결할 수 없음 "
"Link to ","다음으로 연결 "
"will be installed at ","에 설치됩니다 "
"will be installed at target","대상에 설치됩니다"
"Owner: ","소유자: "
"Weight: ","무게: "
"Value: ","가치 "
"On ","에 "
"In ","~ 안에 "
"With ","와 함께 "
"View","보기"
"View stockpile","저장구역 보기"
"Uses","용도"
"Engraving ","조각 "
"Specify image","이미지 지정"
"Independent","독립적인"
"Corrupt Soldier Mood: ","부패한 병사 기분: "
"Stumbling obliviously!","저도 모르게 비틀거린다!"
"Sunk into depression...","우울에 빠져들었다..."
"Throwing a tantrum!","지랄발광을 한다!"
"Enraged at all enemies!","모든 적에게 격분했다!"
"In a martial trance!","무아지경에 들었다!"
"Has a horrible fell look!","끔찍하게 추락한다!"
"Brooding darkly...","음울하게 음미하고..."
"Has the aspect of one fey!","하나의 동화 같은 면이 있다!"
"Peculiarly secretive...","유별나게 비밀스러운..."
"Possessed by unknown forces!","알 수 없는 힘에 빙의됐다!"
"Stricken by melancholy...","음울함에 휩싸여..."
"Crawling around crazed!","미친 듯이 크기어다닌다"
"Running around crazed!","미친듯이 뛰어다닌다!"
"Crawling around babbling!","옹알이 주위를 기어다닌다!"
"Running around babbling!","재잘거리며 달려간다!"
"In a berserk rage!","광포한 분노로!"
"Staring off into space...","허공을 노려보며..."
"Corrupt Strange Mood: ","타락한 이상한 무드Mood: "
"Overcome by terror!","공포에 압도당한다!"
"In emotional shock!","감정적 충격에!"
"Overwhelmed by horror!","공포에 압도당했다!"
"Experiencing mortal fear!","필멸의 공포를 경험한다!"
"Beside ","옆에 "
"herself","그녀 자신"
"himself","그 자신"
" with grief!"," 비탄으로!"
"Drowning in sadness!","슬픔에 익사한다!"
"Writhing in agony!","고뇌에 몸부림친다!"
"Anguished!","비통함!"
"Lost in despair!","절망에 빠졌다!"
"Completely dismayed!","끔찍하게 경악했다!"
"Distressed!","괴.롭.다!"
"Taken by a fright!","섬뜩함에 사로잡혔다!"
"Wallowing in misery!","고통과 비참함 속에 뒹군다!"
"Truly mortified!","진정으로 굴욕스럽다!"
"Shaken to the core!","핵심을 뒤흔들었다!"
"In existential crisis!","최악의 자괴감 속에서!"
"Emotionally overloaded!","감정적으로 과부하됐다!"
"Pet of ","애완동물 "
"Somebody","누군가"
"Creator of ","창조자: "
"Cannot expel or send away:","추방하거나 내보낼 수 없음:"
"Does the expelling","추방했다."
"Nobility","귀족"
"Holds elected office","사무실 보유?"
"Spouse does the expelling","배우자를 퇴출시킨다"
"Spouse is not present","배우자가 없음"
"Spouse is nobility","배우자는 귀족이다"
"Spouse is elected","배우자가 선출됨"
"Child does the expelling","자녀를 퇴출시킨다"
"Child is not present","자녀가 없음"
"Child is nobility","자녀가 귀족이다"
"Child is elected","자녀가 선출됨"
"Expel","내쫓다"
"Send to ","보내기 "
"Send away","보내기"
"Cancel","취소"
"Overview","개요"
"Items","물품"
"Health","건강"
"Skills","기술"
"Rooms","객실"
"Labor","노동"
"Relations","관계"
"Groups","그룹"
"Military","군대"
"Thoughts","생각"
"Personality","인격"
" Year"," 년도"
" Old"," 늙은"
"Spouse: ","배우자: "
" lovers"," 연인"
"Lover: ","연인: "
" children"," 자녀들"
"Child: ","자녀: "
" pets"," 애완동물"
"Strong","강함"
"Agile","기민함"
"Tough","강인함"
"High stamina","높은 지구력"
"Recovers quickly","빠른 회복"
"Resists sickness","질병 저항"
"Weak","약함"
"Clumsy","서투름"
"Frail","나약함"
"Low stamina","낮은 지구력"
"Recovers slowly","느린 회복"
"Sickly","병약힘"
"Good analytical ability","좋은 분석 능력"
"Good focus","좋은 집중력"
"High willpower","높은 의지력"
"Creative","창의적"
"Good intuition","좋은 직관력"
"Patient","인내심 있음"
"Good memory","좋은 기억력"
"Good with language","언어에 능숙함"
"Good spatial sense","좋은 공간 감각"
"Musical","음악적"
"High kinesthetic sense","높은 운동감각"
"Developed empathy","발달한 공감력"
"High social awareness","높은 사회적 감각"
"Poor analytical ability","빈약한 분석 능력"
"Poor focus","빈약한 집중력"
"Low willpower","낮은 의지력"
"Not creative","창의성 없음"
"Poor intuition","빈약한 직관력"
"Impatient","쉽게 짜증냄"
"Poor memory","빈약한 기억력"
"Bad with words","언어에 약함"
"Poor spatial sense","빈약한 공간 감각"
"Not musical","음악성 없음"
"Poor kinesthetic sense","빈약한 운동감각"
"Poor empathy","빈약한 공감력"
"Poor social awareness","빈약한 사회적 감각"
"Quick to love","빠르게 사랑에 빠짐"
"Hateful","증오함"
"Envious","부러워함"
"Cheerful","쾌활함"
"Depression-prone","우울해지기 쉬움"
"Anger-prone","화를 잘 냄"
"Anxious","불안해함"
"Lustful","음탕함"
"Easily stressed","쉽게 스트레스받음"
"Greedy","탐욕스러움"
"Intemperate","무절제함"
"Brawler","싸움꾼"
"Stubborn","고집 셈"
"Wasteful","낭비함"
"Prone to discord","쉽게 불화함"
"Flatterer","아첨꾼"
"Polite","공손함"
"Disdains advice","충고를 경멸함"
"Fearless","용감함"
"Overconfident","과신함"
"Vain","허영심"
"Ambitious","야망 있음"
"Gracious","자애로움"
"Extravagant","사치부림"
"Zany","익살스러움"
"Vengeful","복수심 넘치는"
"Proud","자랑스러움"
"Cruel","잔인함"
"Single-minded","외곬수"
"Hopeful","희망참"
"Curious","호기심 넘치는"
"Bashful","수줍음"
"Private","개인적"
"Perfectionist","완벽주의자"
"Obstinate","완고함"
"Tolerant","관대함"
"Emotional obsessive","강박적"
"Swayed by emotions","감정에 휘둘림"
"Altruistic","이타적"
"Dutiful","순종적"
"Thoughtless","인정 없음"
"Orderly","질서적"
"Trusting","타인을 신뢰함"
"Gregarious","사교적"
"Overbearing","고압적임"
"Frenetic","열광적"
"Thrill-seeker","스릴을 추구함"
"Flights of fancy","공상적"
"Inclined to abstract","추상적인 성향"
"Artistically inclined","예술적인 성향"
"Slow to love","느리게 사랑에 빠짐"
"Slow to hate","쉽게 미워하지 않음"
"Not envious","부러워하지 않음"
"Cheerless","기운 없음"
"Not easily depressed","쉽게 우울해지지 않음"
"Slow to anger","쉽게 분노하지 않음"
"Not anxious","불안하지 않음"
"Not lustful","정욕이 없음"
"Resilient","스트레스에 강함"
"Not greedy","탐욕스럽지 않음"
"Temperate","온대"
"Avoid fights","싸움을 피함"
"Quick to give up","포기가 빠름"
"Not wasteful","낭비하지 않음"
"Seeks harmony","조화를 추구함"
"Quarreler","언쟁꾼"
"Rude","무례함"
"Overreliant on advice","조언에 의존함"
"Fearful","쉽게 두려워함"
"Pusillanimous","소심함"
"Not vain","허영심 없음"
"Not ambitious","야망 없음"
"Ungrateful","감사할줄 모름"
"Austere","소박함"
"Humorless","유머러스함"
"Not vengeful","복수심 없음"
"Low self esteem","낮은 자존감"
"Merciful","자비로움"
"Scatterbrained","산만함"
"Quick to despair","쉽게 절망함"
"Incurious","호기심 없음"
"Shameless","뻔뻔함"
"Overshares","나누는 성격"
"Inattentive","부주의함"
"Acquiescing","묵인함"
"Intolerant","편협함"
"Emotionally distant","감정적으로 동떨어짐"
"Unswayed by emotions","감정에 흔들리지 않음"
"Not altruistic","이기적"
"Not dutiful","순종적이지 않음"
"Overcautious","지나치게 조심함"
"Sloppy","엉성함"
"Distrustful","의심 많음"
"Loner","외톨이"
"Unassertive","내성적"
"Leisurely","느긋함"
"Avoids excitement","흥분되는 활동을 피함"
"Fact-oriented","사실 지향적"
"Not inclined to abstract","추상적이지 않음"
"Not inclined to create art","예술에 관심 없음"
"Values law","법을 중요시함"
"Values loyalty","충직함을 중요시함"
"Values family","가족을 중요시함"
"Values friendship","우정을 중요시함"
"Values power","힘을 중요시함"
"Values truth","진실을 중요시함"
"Values cunning","교활함을 중요시함"
"Values eloquence","웅변을 중요시함"
"Values fairness","공정성을 중요시함"
"Values decorum","예의를 중요시함"
"Values tradition","전통을 중요시함"
"Values artwork","예술활동을 중요시함"
"Values cooperation","협력을 중요시함"
"Values independence","독립성을 중요시함"
"Values stoicism","금욕을 중요시함"
"Values introspection","자기성찰을 중요시함"
"Values self-control","자기조절을 중요시함"
"Values tranquility","평온함을 중요시함"
"Values harmony","조화를 중요시함"
"Values merriment","유쾌함을 중요시함"
"Values craftwork","공예를 중요시함"
"Values martial prowess","무술을 중요시함"
"Values skill","기술을 중요시함"
"Values hard work","근면한 노동을 중요시함"
"Values sacrifice","희생을 중요시함"
"Values competition","경쟁을 중요시함"
"Values perseverance","인내를 중요시함"
